"","x"
"1",0.001
"2",0.001
"3",0.001
"4",0.00677358575682813
"5",0.330012792261969
"6",0.363937582025544
"7",0.999
"8",0.794350219470049
"9",0.001
"10",0.001
"11",0.001
"12",0.001
"13",0.001
"14",0.001
"15",0.391654598117418
"16",0.999
"17",0.001
"18",0.001
"19",0.0905690963225865
"20",0.001
"21",0.646255985634846
"22",0.001
"23",0.652757653218515
"24",0.999
"25",0.001
"26",0.001
"27",0.0150948157875789
"28",0.00663226052977086
"29",0.107709078921042
"30",0.0712688281291876
"31",0.435171161277603
"32",0.999
"33",0.001
"34",0.001
"35",0.186798763206189
"36",0.0447678551676094
"37",0.727038008679061
"38",0.32071042507225
"39",0.734352385728637
"40",0.999
"41",0.001
"42",0.001
"43",0.001
"44",0.001
"45",0.001
"46",0.001
"47",0.489568105683802
"48",0.999
"49",0.001
"50",0.001
"51",0.001
"52",0.0341088519926487
"53",0.001
"54",0.001
"55",0.279753257164583
"56",0.999
"57",0.001
"58",0.001
"59",0.0181138105162131
"60",0.001
"61",0.001
"62",0.0855227350911921
"63",0.5222059653269
"64",0.999
"65",0.001
"66",0.001
"67",0.001
"68",0.001
"69",0.193876708945411
"70",0.001
"71",0.391654480994357
"72",0.999
"73",0.001
"74",0.001
"75",0.0815121556334097
"76",0.0358142721314008
"77",0.001
"78",0.12828411290333
"79",0.587481761260846
"80",0.999
"81",0.001
"82",0.001
"83",0.33963428192953
"84",0.001
"85",0.001
"86",0.001
"87",0.979136705217816
"88",0.999
"89",0.001
"90",0.001
"91",0.00970382559513087
"92",0.00852720590185362
"93",0.415450068298948
"94",0.183263002918979
"95",0.419629710047173
"96",0.999
"97",0.001
"98",0.0027030836690537
"99",0.0815122114770558
"100",0.001
"101",0.001
"102",0.001
"103",0.391654602247711
"104",0.999
"105",0.001
"106",0.001
"107",0.0143003690180009
"108",0.00628320183769143
"109",0.001
"110",0.0675179137487748
"111",0.412267684590936
"112",0.999
"113",0.001
"114",0.001
"115",0.0388152769641403
"116",0.001
"117",0.138483221511477
"118",0.001
"119",0.2797529459748
"120",0.999
"121",0.001
"122",0.001
"123",0.0724552091627916
"124",0.00795872227530347
"125",0.129251039810871
"126",0.0855226924843087
"127",0.522205827207319
"128",0.999
"129",0.001
"130",0.001
"131",0.00754741913634805
"132",0.0132645413183014
"133",0.107709225764554
"134",0.14253787234994
"135",0.761550525867348
"136",0.999
"137",0.001
"138",0.000675770342406095
"139",0.00679267826646895
"140",0.00596904446131111
"141",0.0969383151258241
"142",0.0641420448791047
"143",0.391654397565539
"144",0.999
"145",0.001
"146",0.001
"147",0.001
"148",0.001
"149",0.001
"150",0.001
"151",0.451908986619266
"152",0.999
"153",0.001
"154",0.001
"155",0.001
"156",0.001
"157",0.001
"158",0.001
"159",0.48956827570629
"160",0.999
"161",0.001
"162",0.001
"163",0.001
"164",0.001
"165",0.001
"166",0.128284196661603
"167",0.783309312891865
"168",0.999
"169",0.001
"170",0.001
"171",0.0181138089014642
"172",0.00795872595007612
"173",0.258502224072887
"174",0.171045474979152
"175",0.522205941936322
"176",0.999
"177",0.001
"178",0.001
"179",0.0254725504637681
"180",0.001
"181",0.001
"182",0.080177576206781
"183",0.489568117880268
"184",0.999
"185",0.001
"186",0.001
"187",0.0679268403242712
"188",0.001
"189",0.001
"190",0.001
"191",0.489568260613557
"192",0.999
"193",0.001
"194",0.001
"195",0.152835376008572
"196",0.001
"197",0.001
"198",0.001
"199",0.489568220832083
"200",0.999
"201",0.001
"202",0.001
"203",0.0543414531607928
"204",0.001
"205",0.001
"206",0.128284152229247
"207",0.58748184451453
"208",0.999
"209",0.001
"210",0.001
"211",0.135853715474241
"212",0.001
"213",0.001
"214",0.001
"215",0.001
"216",0.999
"217",0.001
"218",0.001
"219",0.0452845675776577
"220",0.001
"221",0.64625609461937
"222",0.001
"223",0.652757761291828
"224",0.999
"225",0.001
"226",0.00270308361282024
"227",0.108682945108945
"228",0.001
"229",0.001
"230",0.256568397353187
"231",0.391654593465045
"232",0.999
"233",0.001
"234",0.001
"235",0.0452845701514785
"236",0.001
"237",0.001
"238",0.001
"239",0.652757772120418
"240",0.999
"241",0.001
"242",0.000844713140571524
"243",0.00849084973104204
"244",0.001
"245",0.001
"246",0.0801775741981594
"247",0.489568109542575
"248",0.999
"249",0.001
"250",0.001
"251",0.407561128567838
"252",0.001
"253",0.969384206106393
"254",0.001
"255",0.979136707739813
"256",0.999
"257",0.001
"258",0.001
"259",0.0485191465071491
"260",0.001
"261",0.415450152794774
"262",0.320710388336351
"263",0.699383171402493
"264",0.999
"265",0.001
"266",0.001
"267",0.0247006592386221
"268",0.0434112523199031
"269",0.881258290827245
"270",0.466487933627354
"271",0.534074374680621
"272",0.999
"273",0.001
"274",0.001
"275",0.0679267963717075
"276",0.001
"277",0.121172912024198
"278",0.0801775677511539
"279",0.367176016522812
"280",0.999
"281",0.001
"282",0.001
"283",0.0203780364722615
"284",0.001
"285",0.0969383205556752
"286",0.0641420485979541
"287",0.39165441255116
"288",0.999
"289",0.001
"290",0.001
"291",0.001
"292",0.001
"293",0.001
"294",0.001
"295",0.489568253864671
"296",0.999
"297",0.001
"298",0.001
"299",0.001
"300",0.001
"301",0.001
"302",0.999
"303",0.001
"304",0.001
"305",0.001
"306",0.001
"307",0.001
"308",0.001
"309",0.001
"310",0.001
"311",0.001
"312",0.999
